15,8,9,"[8, 1, 15, 10, 6, 3, 13, 12, 4, 5, 11, 14, 2, 7, 9]"
16,8,16,"[8, 1, 15, 10, 6, 3, 13, 12, 4, 5, 11, 14, 2, 7, 9, 16]"
17,16,17,"[16, 9, 7, 2, 14, 11, 5, 4, 12, 13, 3, 6, 10, 15, 1, 8, 17]"
23,2,18,"[2, 23, 13, 12, 4, 21, 15, 10, 6, 19, 17, 8, 1, 3, 22, 14, 11, 5, 20, 16, 9, 7, 18]"
23,9,18,"[9, 16, 20, 5, 11, 14, 22, 3, 1, 8, 17, 19, 6, 10, 15, 21, 4, 12, 13, 23, 2, 7, 18]"
23,18,22,"[18, 7, 9, 16, 20, 5, 11, 14, 2, 23, 13, 12, 4, 21, 15, 10, 6, 19, 17, 8, 1, 3, 22]"
25,2,18,"[2, 23, 13, 12, 24, 25, 11, 14, 22, 3, 1, 8, 17, 19, 6, 10, 15, 21, 4, 5, 20, 16, 9, 7, 18]"
25,3,18,"[3, 22, 14, 2, 23, 13, 12, 4, 21, 15, 10, 6, 19, 17, 8, 1, 24, 25, 11, 5, 20, 16, 9, 7, 18]"
25,4,18,"[4, 21, 15, 10, 6, 19, 17, 8, 1, 3, 22, 14, 2, 23, 13, 12, 24, 25, 11, 5, 20, 16, 9, 7, 18]"
25,8,18,"[8, 17, 19, 6, 10, 15, 21, 4, 12, 13, 23, 2, 14, 22, 3, 1, 24, 25, 11, 5, 20, 16, 9, 7, 18]"
25,9,18,"[9, 16, 20, 5, 4, 21, 15, 10, 6, 19, 17, 8, 1, 3, 22, 14, 11, 25, 24, 12, 13, 23, 2, 7, 18]"
25,10,18,"[10, 15, 21, 4, 12, 13, 23, 2, 14, 22, 3, 6, 19, 17, 8, 1, 24, 25, 11, 5, 20, 16, 9, 7, 18]"
25,11,18,"[11, 25, 24, 12, 13, 23, 2, 14, 22, 3, 1, 8, 17, 19, 6, 10, 15, 21, 4, 5, 20, 16, 9, 7, 18]"
25,13,18,"[13, 23, 2, 14, 22, 3, 1, 8, 17, 19, 6, 10, 15, 21, 4, 12, 24, 25, 11, 5, 20, 16, 9, 7, 18]"
25,18,22,"[18, 7, 9, 16, 20, 5, 11, 25, 24, 12, 4, 21, 15, 10, 6, 19, 17, 8, 1, 3, 13, 23, 2, 14, 22]"
25,18,23,"[18, 7, 9, 16, 20, 5, 11, 25, 24, 1, 8, 17, 19, 6, 10, 15, 21, 4, 12, 13, 3, 22, 14, 2, 23]"
26,2,18,"[2, 14, 22, 3, 13, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21, 4, 12, 24, 25, 11, 5, 20, 16, 9, 7, 18]"
26,4,18,"[4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 2, 14, 22, 3, 13, 12, 24, 25, 11, 5, 20, 16, 9, 7, 18]"
26,8,18,"[8, 17, 19, 6, 10, 26, 23, 2, 14, 22, 3, 13, 12, 4, 21, 15, 1, 24, 25, 11, 5, 20, 16, 9, 7, 18]"
26,9,18,"[9, 16, 20, 5, 11, 25, 24, 12, 4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 13, 3, 22, 14, 2, 7, 18]"
26,11,18,"[11, 25, 24, 12, 13, 3, 22, 14, 2, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21, 4, 5, 20, 16, 9, 7, 18]"
26,13,18,"[13, 3, 22, 14, 2, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21, 4, 12, 24, 25, 11, 5, 20, 16, 9, 7, 18]"
26,13,18,"[13, 12, 4, 21, 15, 10, 26, 23, 2, 14, 22, 3, 6, 19, 17, 8, 1, 24, 25, 11, 5, 20, 16, 9, 7, 18]"
26,15,18,"[15, 21, 4, 12, 13, 3, 22, 14, 2, 23, 26, 10, 6, 19, 17, 8, 1, 24, 25, 11, 5, 20, 16, 9, 7, 18]"
26,18,22,"[18, 7, 9, 16, 20, 5, 4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 2, 14, 11, 25, 24, 12, 13, 3, 22]"
26,18,22,"[18, 7, 9, 16, 20, 5, 11, 25, 24, 1, 8, 17, 19, 6, 3, 13, 12, 4, 21, 15, 10, 26, 23, 2, 14, 22]"
26,18,26,"[18, 7, 9, 16, 20, 5, 11, 25, 24, 1, 8, 17, 19, 6, 3, 22, 14, 2, 23, 13, 12, 4, 21, 15, 10, 26]"
26,18,26,"[18, 7, 9, 16, 20, 5, 11, 25, 24, 1, 8, 17, 19, 6, 10, 15, 21, 4, 12, 13, 3, 22, 14, 2, 23, 26]"
27,1,18,"[1, 8, 17, 19, 6, 3, 13, 12, 24, 25, 11, 14, 22, 27, 9, 16, 20, 5, 4, 21, 15, 10, 26, 23, 2, 7, 18]"
27,1,18,"[1, 8, 17, 19, 6, 3, 13, 23, 26, 10, 15, 21, 4, 12, 24, 25, 11, 5, 20, 16, 9, 27, 22, 14, 2, 7, 18]"
27,1,18,"[1, 8, 17, 19, 6, 3, 22, 27, 9, 16, 20, 5, 4, 21, 15, 10, 26, 23, 13, 12, 24, 25, 11, 14, 2, 7, 18]"
27,3,18,"[3, 13, 12, 24, 25, 11, 14, 22, 27, 9, 16, 20, 5, 4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 2, 7, 18]"
27,3,18,"[3, 13, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21, 4, 12, 24, 25, 11, 5, 20, 16, 9, 27, 22, 14, 2, 7, 18]"
27,3,18,"[3, 22, 27, 9, 16, 20, 5, 4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 13, 12, 24, 25, 11, 14, 2, 7, 18]"
27,5,18,"[5, 20, 16, 9, 27, 22, 3, 13, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21, 4, 12, 24, 25, 11, 14, 2, 7, 18]"
27,5,18,"[5, 20, 16, 9, 27, 22, 14, 11, 25, 24, 1, 8, 17, 19, 6, 3, 13, 12, 4, 21, 15, 10, 26, 23, 2, 7, 18]"
27,6,18,"[6, 19, 17, 8, 1, 3, 13, 12, 24, 25, 11, 14, 22, 27, 9, 16, 20, 5, 4, 21, 15, 10, 26, 23, 2, 7, 18]"
27,6,18,"[6, 19, 17, 8, 1, 3, 13, 23, 26, 10, 15, 21, 4, 12, 24, 25, 11, 5, 20, 16, 9, 27, 22, 14, 2, 7, 18]"
27,6,18,"[6, 19, 17, 8, 1, 3, 22, 27, 9, 16, 20, 5, 4, 21, 15, 10, 26, 23, 13, 12, 24, 25, 11, 14, 2, 7, 18]"
27,8,18,"[8, 17, 19, 6, 10, 26, 23, 13, 3, 1, 15, 21, 4, 12, 24, 25, 11, 5, 20, 16, 9, 27, 22, 14, 2, 7, 18]"
27,10,18,"[10, 26, 23, 13, 3, 6, 19, 17, 8, 1, 15, 21, 4, 12, 24, 25, 11, 5, 20, 16, 9, 27, 22, 14, 2, 7, 18]"
27,12,18,"[12, 4, 21, 15, 10, 26, 23, 13, 3, 6, 19, 17, 8, 1, 24, 25, 11, 5, 20, 16, 9, 27, 22, 14, 2, 7, 18]"
27,12,18,"[12, 13, 3, 6, 19, 17, 8, 1, 24, 25, 11, 14, 22, 27, 9, 16, 20, 5, 4, 21, 15, 10, 26, 23, 2, 7, 18]"
27,12,18,"[12, 13, 23, 26, 10, 15, 21, 4, 5, 20, 16, 9, 27, 22, 3, 6, 19, 17, 8, 1, 24, 25, 11, 14, 2, 7, 18]"
27,14,18,"[14, 11, 25, 24, 12, 13, 3, 22, 27, 9, 16, 20, 5, 4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 2, 7, 18]"
27,14,18,"[14, 22, 27, 9, 16, 20, 5, 11, 25, 24, 1, 8, 17, 19, 6, 3, 13, 12, 4, 21, 15, 10, 26, 23, 2, 7, 18]"
27,15,18,"[15, 21, 4, 5, 20, 16, 9, 27, 22, 3, 1, 8, 17, 19, 6, 10, 26, 23, 13, 12, 24, 25, 11, 14, 2, 7, 18]"
27,15,18,"[15, 21, 4, 5, 20, 16, 9, 27, 22, 14, 11, 25, 24, 12, 13, 3, 1, 8, 17, 19, 6, 10, 26, 23, 2, 7, 18]"
27,16,18,"[16, 20, 5, 4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 2, 14, 11, 25, 24, 12, 13, 3, 22, 27, 9, 7, 18]"
27,16,18,"[16, 20, 5, 11, 25, 24, 1, 8, 17, 19, 6, 3, 13, 12, 4, 21, 15, 10, 26, 23, 2, 14, 22, 27, 9, 7, 18]"
27,18,19,"[18, 7, 2, 14, 11, 25, 24, 12, 13, 23, 26, 10, 6, 3, 22, 27, 9, 16, 20, 5, 4, 21, 15, 1, 8, 17, 19]"
27,18,19,"[18, 7, 2, 23, 26, 10, 6, 3, 13, 12, 24, 25, 11, 14, 22, 27, 9, 16, 20, 5, 4, 21, 15, 1, 8, 17, 19]"
27,18,21,"[18, 7, 2, 14, 11, 25, 24, 1, 8, 17, 19, 6, 3, 22, 27, 9, 16, 20, 5, 4, 12, 13, 23, 26, 10, 15, 21]"
27,18,21,"[18, 7, 2, 14, 11, 25, 24, 12, 4, 5, 20, 16, 9, 27, 22, 3, 13, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21]"
27,18,21,"[18, 7, 2, 14, 11, 25, 24, 12, 13, 23, 26, 10, 15, 1, 8, 17, 19, 6, 3, 22, 27, 9, 16, 20, 5, 4, 21]"
27,18,21,"[18, 7, 2, 23, 26, 10, 15, 1, 8, 17, 19, 6, 3, 13, 12, 24, 25, 11, 14, 22, 27, 9, 16, 20, 5, 4, 21]"
27,18,23,"[18, 7, 2, 14, 11, 25, 24, 12, 13, 3, 22, 27, 9, 16, 20, 5, 4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23]"
27,18,23,"[18, 7, 2, 14, 22, 27, 9, 16, 20, 5, 11, 25, 24, 1, 8, 17, 19, 6, 3, 13, 12, 4, 21, 15, 10, 26, 23]"
27,18,25,"[18, 7, 2, 14, 11, 5, 20, 16, 9, 27, 22, 3, 13, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21, 4, 12, 24, 25]"
27,18,26,"[18, 7, 2, 14, 22, 27, 9, 16, 20, 5, 11, 25, 24, 12, 4, 21, 15, 10, 6, 19, 17, 8, 1, 3, 13, 23, 26]"
27,18,27,"[18, 7, 2, 14, 22, 3, 13, 23, 26, 10, 6, 19, 17, 8, 1, 15, 21, 4, 12, 24, 25, 11, 5, 20, 16, 9, 27]"
27,18,27,"[18, 7, 9, 16, 20, 5, 4, 21, 15, 1, 8, 17, 19, 6, 10, 26, 23, 2, 14, 11, 25, 24, 12, 13, 3, 22, 27]"
27,18,27,"[18, 7, 9, 16, 20, 5, 11, 25, 24, 1, 8, 17, 19, 6, 3, 13, 12, 4, 21, 15, 10, 26, 23, 2, 14, 22, 27]"
28,1,18,"[1, 15, 10, 26, 23, 13, 3, 6, 19, 17, 8, 28, 21, 4, 12, 24, 25, 11, 5, 20, 16, 9, 27, 22, 14, 2, 7, 18]"
28,1,18,"[1, 15, 21, 28, 8, 17, 19, 6, 10, 26, 23, 13, 3, 22, 27, 9, 16, 20, 5, 4, 12, 24, 25, 11, 14, 2, 7, 18]"
28,1,18,"[1, 24, 25, 11, 14, 22, 27, 9, 16, 20, 5, 4, 12, 13, 3, 6, 19, 17, 8, 28, 21, 15, 10, 26, 23, 2, 7, 18]"
28,3,18,"[3, 6, 19, 17, 8, 28, 21, 4, 12, 13, 23, 26, 10, 15, 1, 24, 25, 11, 5, 20, 16, 9, 27, 22, 14, 2, 7, 18]"
28,3,18,"[3, 13, 12, 4, 5, 20, 16, 9, 27, 22, 14, 11, 25, 24, 1, 15, 21, 28, 8, 17, 19, 6, 10, 26, 23, 2, 7, 18]"
28,3,18,"[3, 22, 27, 9, 16, 20, 5, 4, 12, 13, 23, 26, 10, 6, 19, 17, 8, 28, 21, 15, 1, 24, 25, 11, 14, 2, 7, 18]"
28,4,18,"[4, 5, 20, 16, 9, 27, 22, 3, 1, 15, 21, 28, 8, 17, 19, 6, 10, 26, 23, 13, 12, 24, 25, 11, 14, 2, 7, 18]"
28,4,18,"[4, 5, 20, 16, 9, 27, 22, 14, 11, 25, 24, 12, 13, 3, 1, 15, 21, 28, 8, 17, 19, 6, 10, 26, 23, 2, 7, 18]"
28,4,18,"[4, 12, 13, 23, 26, 10, 15, 21, 28, 8, 17, 19, 6, 3, 1, 24, 25, 11, 5, 20, 16, 9, 27, 22, 14, 2, 7, 18]"
28,4,18,"[4, 21, 28, 8, 17, 19, 6, 3, 1, 15, 10, 26, 23, 13, 12, 24, 25, 11, 5, 20, 16, 9, 27, 22, 14, 2, 7, 18]"
28,5,18,"[5, 20, 16, 9, 27, 22, 3, 6, 19, 17, 8, 28, 21, 4, 12, 13, 23, 26, 10, 15, 1, 24, 25, 11, 14, 2, 7, 18]"
28,6,18,"[6, 19, 17, 8, 28, 21, 4, 5, 20, 16, 9, 27, 22, 3, 1, 15, 10, 26, 23, 13, 12, 24, 25, 11, 14, 2, 7, 18]"
28,6,18,"[6, 19, 17, 8, 28, 21, 4, 5, 20, 16, 9, 27, 22, 14, 11, 25, 24, 12, 13, 3, 1, 15, 10, 26, 23, 2, 7, 18]"
28,6,18,"[6, 19, 17, 8, 28, 21, 15, 10, 26, 23, 13, 12, 4, 5, 20, 16, 9, 27, 22, 3, 1, 24, 25, 11, 14, 2, 7, 18]"
28,10,18,"[10, 26, 23, 13, 12, 4, 5, 20, 16, 9, 27, 22, 3, 6, 19, 17, 8, 28, 21, 15, 1, 24, 25, 11, 14, 2, 7, 18]"
28,11,18,"[11, 25, 24, 1, 3, 6, 19, 17, 8, 28, 21, 15, 10, 26, 23, 13, 12, 4, 5, 20, 16, 9, 27, 22, 14, 2, 7, 18]"
28,11,18,"[11, 25, 24, 12, 13, 23, 26, 10, 15, 1, 3, 6, 19, 17, 8, 28, 21, 4, 5, 20, 16, 9, 27, 22, 14, 2, 7, 18]"
